Xaux_1,Xaux_2,Xaux_3,Xaux_4,Xaux_5,Xaux_6,Xaux_7,Xaux_8,Xaux_9,Var2
0.02165,0.15422,-0.62959,0.0088554,0.069423,0.12514,-0.53659,0.013956,0.01141,d
0.020707,0.15578,-0.57539,0.020098,0.15634,0.11587,-0.4527,0.038465,0.0094317,d
0.16347,0.37822,-0.61186,0.037103,0.20515,0.36546,-0.48259,0.061812,0.12234,d
0.13109,0.36517,-0.67182,0.029758,0.17495,0.32551,-0.46158,0.047361,0.079637,b
0.0063,0.096441,-0.77888,0.0030308,0.043097,0.056239,-0.66474,0.010118,0.00099907,c
0.072141,0.26733,-0.61968,0.070363,0.20341,0.19748,-0.46939,0.096033,0.045659,c
0.18829,0.49865,-0.35795,0.29631,0.75009,0.36345,-0.23826,0.53522,0.062615,d
0.18564,0.48424,-0.54021,0.12174,0.4361,0.30004,-0.33152,0.15936,0.075272,d
0.025274,0.17929,-0.54907,0.020712,0.14118,0.1138,-0.50134,0.035551,0.0089237,c
0.016359,0.15085,-0.65374,0.0044485,0.04526,0.080236,-0.60768,0.0086758,0.0038358,d
0.018928,0.12772,-0.70671,0.0043729,0.052167,0.11723,-0.60218,0.0099832,0.014671,c
0.25023,0.49258,-0.70859,0.12126,0.35579,0.35406,-0.49534,0.16465,0.16441,b
0.041739,0.21686,-0.64648,0.011326,0.077813,0.16322,-0.56229,0.017367,0.020746,d
0.37557,0.68467,-0.5002,0.18755,0.51596,0.46307,-0.32808,0.28063,0.18661,d
0.023642,0.16805,-0.63877,0.014817,0.094767,0.11658,-0.54166,0.022302,0.010145,d
0.070455,0.29956,-0.71054,0.045766,0.21675,0.18935,-0.52521,0.087809,0.030001,b
0.026035,0.16729,-0.87814,0.012669,0.069524,0.094287,-0.75831,0.020681,0.014289,c
0.036626,0.19394,-0.61142,0.0081727,0.10894,0.14488,-0.51961,0.025006,0.022268,d
0.0077033,0.098708,-0.59608,0.0035073,0.03636,0.07324,-0.64948,0.0064561,0.0027662,d
0.052517,0.25656,-0.58084,0.013387,0.12246,0.17609,-0.49589,0.029691,0.019919,d
0.036184,0.21886,-0.62389,0.0073678,0.07223,0.15896,-0.55558,0.014753,0.011142,d
0.031034,0.20286,-0.7002,0.060866,0.20256,0.10997,-0.53191,0.081411,0.0096596,b
0.024825,0.17923,-0.60999,0.023627,0.13225,0.12818,-0.48524,0.03108,0.0083214,d
0.023534,0.1646,-0.63101,0.006629,0.064315,0.11585,-0.54713,0.012366,0.011605,d
0.14292,0.38696,-0.68181,0.091063,0.29235,0.26879,-0.46498,0.11065,0.082465,b
0.036999,0.20831,-0.49678,0.016423,0.1314,0.14991,-0.5108,0.030965,0.017062,d
0.02263,0.1708,-0.60283,0.011583,0.095487,0.12171,-0.54526,0.020792,0.0076323,d
0.032729,0.18818,-0.55325,0.019256,0.13224,0.16189,-0.49449,0.032453,0.017725,d
